id,surname,name,patronymic,sex,birthDate,salary
e3d5068e-64a8-4cb6-964e-e96ea0be5945,Иванов,Кирилл,Иванович,false,1990-04-18,43144
09419320-20e5-4465-9cfb-9e8e4f1d15c8,Петрова,Анастасия,Кирилловна,true,1994-05-11,35414
f2141206-35d6-43a7-a2b5-b6818a251e43,Белоусов,Кирилл,Александрович,false,1992-05-08,44012
93ed8f66-7b13-4485-8288-54fd93713e16,Белоусова,Александра,Андреевна,true,1996-05-08,55212
12a4d281-a030-41b8-9cd2-439486ba3fac,Сидоров,Кирилл,Сергеевич,false,2000-04-12,88823
400813bd-19a5-46c4-a7ac-a5e4fa5716fb,Михайлова,Любовь,Ивановна,true,1985-09-19,87529
ec07e61a-82b9-48f0-98a8-dd3c761aa678,Мотозов,Сергей,Иванович,false,1970-12-22,70037
c7e30936-6ba2-47ea-b106-ed32bb7a4780,Мотозова,Анастасия,Сергеевна,true,1985-03-20,94902
1b83553b-50e4-4a72-be98-219ea22226d1,Сидоров,Иван,Сергеевич,false,1979-10-20,70045
fbe2ad90-7e8d-4f03-8cc8-4714c9eb8ee1,Михайлова,Екатерина,Михайловна,true,1993-07-28,93720
f3cfbf3d-d1f5-482f-8342-d27d98eec2fe,Белоусов,Алексей,Александрович,false,1973-02-15,25877
d7f65e27-6f29-4555-9883-4b2a4d9341ac,Петрова,Дарья,Александровна,true,1986-03-10,44571
7e82b92a-2143-4fd5-a594-244638687b1f,Иванов,Иван,Петрович,false,1991-04-10,40267
7678638b-fcf8-4b28-a3a3-39d700d1524b,Белоусова,Екатерина,Ивановна,true,1998-05-25,41611
8ab5e3ea-4d26-43c9-9a33-06702a3f632d,Михайлов,Артем,Ильич,false,1990-08-11,49408
34db962f-ee59-43ac-80bd-5d41024f04b2,Белоусова,Александра,Кирилловна,true,1973-02-17,81287
4b325f51-0aa5-488a-b933-3f1a3ac8bad6,Мельников,Алексей,Петрович,false,1982-03-27,57708
6dbeebf2-9ada-4a3f-832b-c44ef3283956,Козлова,Екатерина,Петровна,true,1981-08-15,70695
6a0d223b-6956-457f-a330-27bf2e71a23d,Михайлов,Петр,Ильич,false,1996-02-22,89847
ec29d2e8-ee1e-4d38-a73f-2f77b08c2e7f,Белоусова,Елизовета,Ивановна,true,1979-04-18,35922
327a052b-1dbc-469b-8fce-d01b1578f73b,Козлов,Михаил,Александрович,false,1985-02-16,70465
8366e4df-14f6-4cbe-ab95-22f0b36137cc,Белоусова,Дарья,Ивановна,true,1990-01-05,30656
7e224ce6-3f43-44b1-84cd-5343d43b8818,Сидоров,Петр,Петрович,false,1976-03-18,21778
13acc4ba-9935-4fa1-9757-a0a86515598d,Белоусова,Александра,Артемовна,true,1986-03-18,65384
